driver,clean_laps,net_seconds_per_lap,mae_seconds
ANT,42,-0.05601952304905937,0.47279678342782866
VER,42,-0.05518512511236198,0.20148413985687477
NOR,41,-0.03817336735419084,0.31026602328983216
